emoticon_code,description
!(ﾉ｀◎´)ﾉ ρ ┳┷┳ﾟσ(￣○￣￣;;),nháy mắt
!(ﾉ｀◎´)ﾉ ρ┳┷┳ﾟσ(￣○￣￣;;),nháy mắt
!(ﾉ｀◎´)ﾉミρ┳┷┳ﾟσ(￣○￣;;),nháy mắt
!(￣o￣ )ﾉ v⌒v⌒v⌒v⌒ ミ●~*☆(((≪*☆*BOMB*☆*≫))),bom
!-٩(͡๏̯͡๏)۶_-! =d ?¯\_(⊙︿⊙)_/¯,nhún vai
!o◡O!,ngạc nhiên
!ε!),hôn
!⑈ˆ~ˆ!!⑈ˆ~ˆ!⑈(*^ -^*)(*^ -^*),mỉm cười
!ヽ(ﾒ｀⌒´)θ☆===========(((旦~~,sự tức giận
!ヾ(▼皿▼ﾒ)┌θ☆(ﾉ □ )ﾉ ﾟ ﾟ,kính
"""˃̣̣̥ - ˂̣̣̥",khóc
"""˃̣̣̥ - ˂̣̣̥""",khóc
"""୧༼ಠ益ಠ༽୨",sự tức giận
"""୧༼ಠ益ಠ༽୨ o͡͡͡͡͡͡╮(｡>口<｡)╭o͡͡͡͡͡͡",sự tức giận
"""♨️️",đồ ăn
"""✌(-‿-)✌"",",mỉm cười
#^_^#,đỏ mặt
#◠‿✈‿◠#,đỏ mặt
$ ̲̅ (̲̅ ͡ ° ͜ʖ ͡ ° ̲̅) ̲̅ $ ̲̅],tiền bạc
$ ̲̅ (̲̅ιο̲̅̅) ̲̅ $ ̲̅],tiền bạc
$-,tiền bạc
%-),kính
%￭.￭%,ngạc nhiên
'''⌐(ಠ۾ಠ)¬''',sự tức giận
'(ﾟ▽ﾟ)',mỉm cười
'̿'\̵͇̿̿\з=( ͠° ͟ʖ ͡°)=ε/̵͇̿̿/'̿,súng
'̿'\̵͇̿̿\з=( ͡° ͜ʖ ͡°)=ε/̵͇̿̿/’̿’̿,súng
(   +   )   (   +   ),ngực
(   -  3-(◡‿◡✿),hoa
(   -‿-)/🍘,đồ ăn
(   -‿-)/🍙,đồ ăn
(   >ω<)♡(>ω< ✿),hoa
(   ^-^  )_旦””,đồ ăn
(   ^3)(´ ❥ `),trái tim
(   ^_^) \/(^_^✿),hoa
(   ° ᴗ°)~ð  (/❛o❛\),đề xuất
(   °0°)  💻🎮ε -(°・° ),máy tính
(   °∀°)八 (´ ꒳ ` ✿),hoa
(   ˘³˘)(^▿^),hôn
(   •̀ᴗ•́ )(◉ε◉  ),mỉm cười
(   •̀ᴗ•́ )♡(^ε^  ),trái tim
(   •̀ᴗ•́ )♡(^ε◉  ),trái tim
(   •̀ᴗ•́ )♡(◉ε◉  ),trái tim
(   •̀ᴗ•́ )❤️(•́ ω •̀๑ ),trái tim
(   •̀ᴗ•́ )❤️(❛ᴗ❛๑ ),trái tim
(   •̀ᴗ•́)و ̑(🌸ºั0ºั)( •ω• ⋆ ),hoa
(   ≧≦) ❤️❤️(≧◡≦✿),hoa
(   ●∀● ),mỉm cười
(   ◕ᗜ◕)(●ε●๑🌸),hoa
(   ◕ᗜ◕)(●ε●🌸),hoa
(   ㅅ   ),mông
"(   ＾∇＾) 
(=ↀωↀ=)
(っ˘з(˘⌣˘ )",hôn
(   ･ω･)b♡,trái tim
(   ･｀ω･)b♡,trái tim
(  #`⌂´)/┌┛,trận đánh
(  *∵*  ),đỏ mặt
(  *｀з´ ),sự tức giận
(  -_- )旦~,đồ ăn
(  .)(.  ),ngực
(  ;ﾟдﾟ),mồ hôi
(  O‿O)爻(Ő‿Ő♥),trái tim
(  ^-^)💗(´ε｀*),trái tim
(  ^_^)／,salute_wave
(  ^o^)/,hào hứng
(  ^q^),mỉm cười
(  `ω´ )۶▬ι═══════ﺤ,gươm
(  iдi ),buồn
(  o3o)(´ ❥ `  ),trái tim
(  oωo)cʕ•ᴥ•cʔ,con gấu
(  oᴗo)cʕ•ᴥ•cʔ,con gấu
(  o∀o)(´ ❥ `  ),trái tim
(  °0° )  (′̥̥̥∩′̥̥̥ ) = =🎈,khóc
(  °0° )  📄(′̥̥̥∩′̥̥̥ ),khóc
(  °૩°)♡(˘ε˘˶☆ ),đỏ mặt
(  °∀°)八 (◕ᴗ◕✿),hoa
(  ´ ³`),hôn
(  ´ ˘ `)♡,trái tim
(  ´ ˘ `)♡ᴖ U ᴖ๑),trái tim
(  ´ ˘ `)♥,trái tim
(  ´ ˘ `)♥.:☆¸.•♥•...°☆.=💗💌( ˶˘ ³˘(˵ ͡° ͜ʖ ͡°˵)♡,đỏ mặt
(  ´ ∀ ` ),mỉm cười
(  ´(00)`),con lợn
(  ´_ゝ｀)ﾉ,salute_wave
(  ´o‿o`) (⚗ワ⚗✿),hoa
(  ´˘3˘)♡(´ ❥ `✿),hoa
(  ´˘³˘)♡(´ ❥ `✿),hoa
(  ´˘ᴗ˘)♡(´ ❥ `✿),hoa
(  ´˘ᴗ˘`)♡(´ ❥ `✿),hoa
(  ´‿`)(´‿`✿),hoa
(  ´∀`),mỉm cười
(  ´∀`)/(^-^ *),mỉm cười
(  ´・ω・)ﾉ,salute_wave
(  ´･ω･` )_且~,đồ ăn
(  ˆoˆ ) ♡♬ ♬♪˚‧º·♡(◍˘ ∀ ˘◍)♡,trái tim
(  ˆoˆ(^ε^ ),hôn
(  ˆ∇ˆ(^ε^ ),mỉm cười
(  ˆ◡ˆ(^ε^ ),mỉm cười
(  ˘ ³(ꈍ◡ꈍ)🍪🍪,đỏ mặt
(  ˘ ³˘ ),hôn
(  ˘ ³˘),hôn
(  ˘3˘(•́////•̀๑),đỏ mặt
(  ˘3˘(•́////•̀●),đỏ mặt
(  ˘3˘(≧◡≦✿),hoa
(  ˘³(˘ω˘ 🌸),hoa
(  ˘³(˘ꇴ˘ 🌸),hoa
(  ˘³(🌸˘ꇴ˘)♥,hoa
(  ˘³˘)💗✲ﾟ*｡,trái tim
(  ˘̩̩̩◡˘̩̩̩ )(ᵒ˵U˵ᵒ🌸),hoa
(  ˘ω˘(•́////•̀๑),đỏ mặt
(  ˘з˘(•́////•̀๑),đỏ mặt
(  ˘▽˘✿ ),hoa
(  ˵•́ ᴗ •̀˵)(˵•́ ᴗ •̀˵  ),đỏ mặt
(  ˶^w^),đỏ mặt
(  ˶^w^)b,đỏ mặt
(  ˶❛U❛)b,đỏ mặt
(  ˶❛w❛)b,đỏ mặt
(  ͌∀  ͌)━☆ﾟ.*･｡ﾟ,đũa
(  ͌ヮ  ͌),mỉm cười
(  ͌ヮ  ͌)╭∩╮,ngón giữa
(  ͠° ͟ʖ ͡° ),sự tức giận
(  ͡ ͜ʖ ͡  ),lenny
(  ͡~ ͜ʖ ͡~),lenny
(  ͡~ ͜ʖ ͡°),nháy mắt
(  ͡° ͜ ʖ ͡°),lenny
(  ͡° ͜ʖ ͡° ),lenny
(  ͡° ͜ʖ ͡°),lenny
(  ͡˵° ͜ʖ ͡°),đỏ mặt
(  ͡˵❛U❛)╦╦═─,súng
(  ͡ᵔ ͜ʖ ͡ᵔ ),lenny
(  ͡⌐■ ͜ʖ ͡-■),lenny
(  ͡☉ ͜ʖ ͡☉),lenny
(  ͡⚆ ͜ʖ ͡⚆),lenny
(  ͯᎲ  ͯ)━☆ﾟ.*･｡ﾟ,koala
(  ͯᗜ  ͯ)━☆ﾟ.*･｡ﾟ,đũa
(  ՞ਊ ՞ )☞,chỉ
(  ՞ਊ ՞)☝,chỉ
(  ՞ਊ՞),chim
(  १д१),buồn
(  ਊ дਊ),ngạc nhiên
(  ఠ ൠ ఠ ),con lợn
(  ఠ ൠ ఠ),sự tức giận
(  ఠ ൠఠ ),con lợn
(  ಠ ಠ  ),sự tức giận
(  ಠ_ರೃ),monocle
(  ಠ⌣ಠ),mỉm cười
(  ಠ▃ಠ),sự tức giận
(  ื▿ ืʃƪ),mỉm cười
(  ๑˘³˘)♡(´ ❥ `✿),hoa
(  ๑♡⌓♡๑),đỏ mặt
(  ཀ _ ཀ),buồn
(  ᴖ ᴈ ᴖ)(●.●❁),hoa
(  ’U’(^ε^☆),hôn
(  ’ᵕ’(^ε^☆),mỉm cười
(  ’‿’(^ε^☆),mỉm cười
(  ’∇’(^ε^☆),hôn
(  • З (≧◡≦),mỉm cười
(  •o•)/(ᵔ/ᴥ/ᵔU),chó
(  •o•)/(ᵔ/ᴥ/ᵔU)(˘ε˘ʃƪ),chó
(  •̀ ω•́  ),sự tức giận
(  •̀ᴗ•́ )♡( ♥ω♥ * ),trái tim
(  •̀ᴗ•́ )♡(^ε^  )Lᵒᵛᵉᵧₒᵤ,trái tim
(  •́ω•̀)♡,trái tim
(  •́ω•̀)♡(˘ε˘˶ ),đỏ mặt
(  •ω•)八(•‿•🌸),hoa
(  •ᴗ•)(ᵔ/ᴥ/ᵔU),chó
(  •ᴗ•)/(ᵔ/ᴥ/ᵔU),chó
(  •‿•)八(•‿•🌸),hoa
(  ≚ ◡≚),đỏ mặt
(  ≧ω≦) ♡,trái tim
(  ≧∀≦)❤(^ω^ ✿),hoa
(  ≧◡≦) ♡,trái tim
(  ⊃‿⊂  ),mỉm cười
(  ⊙ ‿⊙),mỉm cười
(  ⊙‿⊙),mỉm cười
(  ⌐■  _  ■  ),kính
(  ⌐▨_▨),kính
(  ⓪益⓪),sự tức giận
(  ╬◣ 益◢）y━･~,sự tức giận
(  ▀ 益 ▀ ),kính
(  ▼ω▼),kính
(  ◉︵◉),buồn
(  ◔ ౪◔)⊃━☆ﾟ.*・,đũa
(  ◕0 ◕) ˪৹⌵ೕ (˃͈ દ ˂͈ ))っ*˖⁺*˖⁺♡,đỏ mặt
(  ◕ω◕)人(◕‿◕◍),mỉm cười
(  ★ں★)♡(˘꒡˘ 🌸),hoa
(  ♡∀♡),trái tim
(  ✿°-° )(°)#))< ฅ(=•́ܫ•̀=)ฅ,hoa
(  ❛ ³ ❛)💗✲ﾟ*｡,trái tim
(  ❛//U//❛)b,đỏ mặt
(  ❛0) 🍹┬─┬🍺 (-‿- ) ┬─┬     🍹_(ﾟ◇ﾟ)ノﾞ,table_upright
(  ❛0) 🍹┬─┬🔫(-‿- ) ┬─┬     🍹_(ﾟ◇ﾟ)ノﾞ,súng
(  ❛3❛)┬─┬ 旦_(^O^ ) (⋆ఠ్◡ఠ్)┬─┬(˃̣̣̥^˂̣̣̥ ),table_upright
(  ❛U❛)b,ngón tay cái_up
(  ❛o❛)▄-┻-,súng
(  ❛ᴗ❛)☆*✲⋆,mỉm cười
(  〃 ￣ω￣〃ゞ,đỏ mặt
(  〃艸〃),đỏ mặt
(  〒﹏〒),buồn
(  ・  ) | ( ・  ),ngực
(  ・_ ・)ノΞ●~*,bom
(  ・_・)ノ,salute_wave
(  ・о・),ngạc nhiên
(  ꈍ૩ꈍ)☆✲ﾟ*｡,đỏ mặt
(  ꈍ૩ꈍ)💗✲ﾟ*｡,đỏ mặt
(  ︶︿︶ )_╭∩╮,ngón giữa
(  ︶︿︶)_╭∩╮,ngón giữa
(  Ｔ▽Ｔ),mỉm cười
(  ＾)💗(＾ *),trái tim
(  ＾∇＾),mỉm cười
(  ｏ´・ε・｀ｏ),đỏ mặt
(  ･`▱´･),sự tức giận
(  ･ω･ )ﾉ,salute_wave
(  ･ω･)ﾉ,salute_wave
(  ･∀･ )💗(♡∀♡🌸),hoa
(  ｰ`дｰ´ ),sự tức giận
(  ﾟ▽ﾟ)/,mỉm cười
(  ￣3)(´ ❥ `),trái tim
(  ￣∇￣),mỉm cười
(  ￣▽￣)ノ,salute_wave
( #^.^# ),đỏ mặt
( #`⌂´)/┌┛,trận đánh
( #`⌂´)/┌┛⋆,sự tức giận
( #~皿~# ),đỏ mặt
( #~皿~#),đỏ mặt
( #＞（●●）＜# ),con lợn
( #｀皿  ´ ),sự tức giận
( #｀皿 ´),sự tức giận
( #｀皿´),sự tức giận
"( ')> ... "" C('-'c)",chim
( '}{' ),hôn
( (y) ◔◡◔) (y),mỉm cười
( (■(㇏(•̀ᵥᵥ•́)ノ),dơi_vampires
( (■■■■■■■■■■■□□□  NOWLOADING,kính
( (ﾉ◕ヮ◕)ﾉ*✲ﾟ*｡⋆,lấp lánh
( )っ✂╰⋃╯,dương vật
( *  ́꒳`*)੭,salute_wave
( * /∇＼*),mỉm cười
( * ´_ゝ｀ ),đỏ mặt
( * ´ω｀*)ノ,salute_wave
( * ´Д｀)=з,buồn
( * ´∀｀*),mỉm cười
( * ´∀｀）,mỉm cười
( * ´台｀*),đỏ mặt
( * ʖ *)╰⋃╯|╰⋃╯,dương vật
( * ๑•̀ロ•́๑)」,đỏ mặt
( * ≧∀≦ *),hào hứng
( * ≧∀≦)ゞ,sự tức giận
( * ＾▽＾)／,salute_wave
( * ﾉωﾉ),đỏ mặt
( * ﾉ▽ﾉ),mỉm cười
( * ﾟ∀ﾟ)ﾉｼ,salute_wave
( *>ω<*),đỏ mặt
( *U* )b♡,trái tim
( *U*)y─┛,thuốc lá
( *^-^ ),mỉm cười
( *^-^),mỉm cười
( *^.^* ),đỏ mặt
( *^^* ),đỏ mặt
( *^_^* ),đỏ mặt
( *^◇^ )_旦,đồ ăn
( *^◇^ )_旦    ♬°⋆⋆°♬    🥃(⋆❛3❛)(❛ε❛⋆)🥃,đồ ăn
( *^◇^ )_旦  (✿•́ ∀ •̀)🍺 ┳━ 🍷_(ﾟ◇ﾟ),hoa
( *^･ｪ･)ﾉ,salute_wave
( *¯ o¯*)♡🍉,trái tim
( *¯ ³¯)(^ ⌣ ^✧),hôn
( *¯ ³¯)(♡//∇/♡),đỏ mặt
( *¯ ³¯)(✿˵•́.•̀˵),hoa
( *¯ ³¯)(✿˵•́ᴗ•̀˵),hoa
( *¯ ³¯)*.;♡,trái tim
( *¯ ³¯)♡,trái tim
( *¯ ³¯)♡(>ω<`),trái tim
( *¯ ³¯)♡♥,trái tim
( *¯ ³¯* )♡,trái tim
( *¯ ³¯*),hôn
( *¯ ³¯*) ♡,trái tim
( *¯ ³¯*)(*´∀｀),hôn
( *¯ ³¯*)(*´∀｀♡),trái tim
( *¯ ³¯*)(o・U・),hôn
( *¯ ³¯*)(ᵔᵕᵔ●),mỉm cười
( *¯ ³¯*)(•ω•｡`)♡,trái tim
( *¯ ³¯*)(•ω•｡`)♡  d(･ω･)b,trái tim
( *¯ ³¯*)(●ᵔᵕᵔ),hôn
( *¯ ³¯*)(◕U◕),hôn
( *¯ ³¯*)(◕▿◕c),hôn
( *¯ ³¯*)(♡//∇/♡),đỏ mặt
( *¯ ³¯*)*.:;♡,trái tim
( *¯ ³¯*)♡,trái tim
( *¯ ³¯*)♡(ŐUŐ人),trái tim
( *¯ ³¯*)♡(◕U◕),trái tim
( *¯ ³¯*)♡(♥✪▽✪),trái tim
( *¯ ³¯*)♡(✪▽✪),trái tim
( *¯ ³¯*)🌸(ŐωŐ人),hoa
( *´-ω) o旦~┏┓,table_upright
( *´-｀* ),đỏ mặt
( *´I`* ),đỏ mặt
( *´I`*),đỏ mặt
( *´_ゝ｀),đỏ mặt
( *´ω｀*),đỏ mặt
( *´ω｀*)ノ,đỏ mặt
( *´д)/(´д｀、),buồn
( *´д)/(´д｀､),buồn
( *´д｀*),đỏ mặt
( *´з｀)ＧＯＯＤ ＤЯЁΑΜ(´ε｀*),morning_night_evening_message
( *´ᴗ`)✿,hoa
( *´∀`* ),đỏ mặt
( *´∀`*),đỏ mặt
( *´∀｀）,mỉm cười
( *´∇｀*),đỏ mặt
( *´╰╯`)♡,trái tim
( *´▿`),mỉm cười
( *´▿`)✿,hoa
( *´◡`)✿,hoa
( *´ェ｀*),đỏ mặt
( *´・ω  )o旦~┏┓,table_upright
( *´罒` * ),đỏ mặt
( *´罒`* ),đỏ mặt
( *´ｪ｀* ),đỏ mặt
( *´ｪ｀* )っ旦~,đỏ mặt
( *´ｪ｀*),đỏ mặt
( *ˊᵕˋ),mỉm cười
( *˘︶˘*).｡.:*♡,đỏ mặt
( *ω*)y─┛,thuốc lá
( *՞ਊ՞* )ﾉ,đỏ mặt
( *՞ਊ՞*)ﾉ,đỏ mặt
( *෴* ),ria
( *๑•̀д•́๑)」,đỏ mặt
( *๑•̀ロ•́๑)」,đỏ mặt
( *ᴗ*)y─┛,thuốc lá
( *’A`*),đỏ mặt
( *’ω’* ),đỏ mặt
( *’▽’ )ノ＾—==ΞΞΞ☆,mỉm cười
( *’▽’)ノ＾—==ΞΞΞ☆,mỉm cười
( *• ̀ω•́ )b,ngón tay cái_up
( *∀*)y─┛,thuốc lá
( *∵* ),đỏ mặt
( *∵* )b♡,trái tim
( *≧m≦* ),đỏ mặt
( *≧n≦* ),đỏ mặt
( *≧∀≦* ),đỏ mặt
( *≧∀≦*),đỏ mặt
( *╹ω╹)ﾉ(╹ᴗ╹○),mỉm cười
( *╹ω╹)ﾉ(╹ᴗ╹●),mỉm cười
( *╹ω╹)ﾉ(╹ᴗ╹●)♪,khiêu vũ
( *▼o▼*)ノ,kính
( *▼▽▼*),kính
( *▽*)y─┛,thuốc lá
( *▽*)y─┛ (´♡ω♡`),trái tim
( *●⁰ꈊ⁰●)ﾉ,salute_wave
( *♥^•ﻌ•^♥* ),đỏ mặt
( *ゝ ω・)ﾉ,nháy mắt
( *ゝω ・)ﾉ,nháy mắt
( *ゝω・)ﾉ,nháy mắt
( *ノз`*),đỏ mặt
( *・∀-)☆,nháy mắt
( *・∀・)ノ☆,mỉm cười
( *・∀・)ノ゛,salute_wave
( *・∀・)ノ゛(≗ ᆽ ≗)^•ﻌ•^,con mèo
( *・∀・)ノ゛^•ﻌ•^,con mèo
( *・∀・)ノ゛＼ʕ◕ᴥ◕＼ʔ,con gấu
( *＾ ∀ﾟ )ъ,mỉm cười
( *＾∀ﾟ )ъ,mỉm cười
( *＾∀ﾟ) ъ,mỉm cười
( *＾∀ﾟ)ъ,mỉm cười
( *＾▽＾)／,salute_wave
( *＾◡＾)っ[̲̅$̲̅(̲̅5)̲̅$̲̅](ﾟДﾟ ?),tiền bạc
( *｀Ω´)b,sự tức giận
( *｀ω´),sự tức giận
( *｀з´ ),sự tức giận
( *｀з´),sự tức giận
( *｀▽´)_旦~~,sự tức giận
( *｀へ´* ),đỏ mặt
( *｀益´*),đỏ mặt
( *･∀･ )  ☕¯\_(の‸の)_/¯,nhún vai
( *･∀･ )  ☕ʅ(◔‸◔✿)ʃ,hoa
( *･∀･ )  ☕☕( ^▽^ ),uống
( *･∀･ ) ☕,uống
( *･∀･ )_Ω~,mỉm cười
( *･∀･)_Ω~,mỉm cười
( *ﾉ ▽ﾉ),mỉm cười
( *ﾉω<* ),đỏ mặt
( *ﾉ∀` *),mỉm cười
( *ﾉ∀`*),đỏ mặt
( *ﾉ▽ﾉ ),đỏ mặt
( *ﾉ▽ﾉ),mỉm cười
( *ﾟ зﾟ),hôn
( *ﾟ ∀ﾟ *),mỉm cười
( *ﾟ0)(;`ー´) o/￣￣￣~🐟 >°)))彡,cá
( *ﾟ0)🎣(;`ー´) o/￣￣￣~🐟 >°)))彡,cá
( *ﾟ0*ﾟ)(;`ー´) o/￣￣￣~✂️,cá
( *ﾟ_っﾟ)ﾉﾞ,salute_wave
( *ﾟ∀ﾟ* ),đỏ mặt
( *ﾟｪﾟ* ),đỏ mặt
( *ﾟｪﾟ*),đỏ mặt
( *ﾟｪﾟ*)(;`ー´) o/￣￣￣~>°)))彡,cá
( *ﾟｰﾟ )=○)ﾟＯﾟ),trận đánh
( *ﾟｰﾟ)ゞ,đỏ mặt
( *￣ω￣)ﾉ(╹ᴗ╹●)♪,khiêu vũ
( *￣ω￣)ﾉ(・ᴗ・●)♪,khiêu vũ
( *￣з￣),hôn
( *￣∀￣),mỉm cười
( *￣▽￣)d,ngón tay cái_up
( + ･｀ω ･)b,ngón tay cái_up
( + ･｀ω･)b,ngón tay cái_up
( + ･｀ω･)b♡(ŐωŐ人),trái tim
( +д+)o =3ε-(≖д≖ ),khó chịu
( +･｀ω･)b,ngón tay cái_up
( +･｀⊇･)b,ngón tay cái_up
"( , )",mông
"( ,,-｀д´-)ﾉ""(･ω；｡)",sự tức giận
( - ‸ - )♡,trái tim
( - ⌣ -)/,salute_wave
( - ⌣-)/,salute_wave
( - ⌣o)/,salute_wave
( - 。－；),mồ hôi
( -(ｴ)-)ゞ,con gấu
( -.-),khó chịu
( -.-) ☕,uống
( -.-)☕,uống
( -3-) ☕,uống
( -U-) ☕,uống
( -U-)/(´ᴥ`U),chó
( -_- )旦~,đồ ăn
( -_-) ☕,uống
( -_-) 旦~,đồ ăn
( -_-)>c[_],uống
( -_-)c[_],uống
( -_-)凸,ngón giữa
( -_-)旦,đồ ăn
( -_-)旦~,đồ ăn
( -_• )︻╦╤─ - - - - -,súng
( -`Δ´- ｡ ),sự tức giận
( -`д´- ｡ ),sự tức giận
( -`д´-),sự tức giận
( -`⌂´- ｡ ),sự tức giận
( -`益´- ✿),hoa
( -`︿ ´- ✿),hoa
( -o-) ☕,uống
( -̩̩̩͡˛ -̩̩̩͡  ),khóc
( -̩̩̩͡˛ -̩̩̩͡ ),khóc
( -ε-  ),hôn
( -ε- ),hôn
( -ω-)ゝ,salute_wave
( -ω-ゞ,salute_wave
( -д-；),mồ hôi
( -෴- ),ria
( -”- ;A,mồ hôi
"( -‸-,)",khó chịu
( -‿◦),mỉm cười
( -∀-),mỉm cười
( -▼∀▼),kính
( -。-),khó chịu
( -人- ),khó chịu
( -人-),khó chịu
( -﹃ -) zzZ,ngủ
( -｡- ; ),khó chịu
( . .)φ__,viết
( . Y . ),ngực
( .. ),buồn
( ..)φ,viết
( ._ .)φ__,viết
( .づ◡﹏◡ )づ.,ôm
( /  °_°)/    🏈,bóng đá
( /  ω＼),khóc
( / ;◇;)/,đang chạy
( / _ ; ),mồ hôi
( /-(ｴ)-＼),con gấu
( //̀Д/́/)\(Ò_Ó \),sự tức giận
( /ToT)/ ~┻┻,tage_flip
( /^ ▽ ^ )/,mỉm cười
( /^ω^)/( ♡∀♡),trái tim
( /^ω^)/╰( ♡∀♡)╮,trái tim
( /^ω^)/╰( ♡∀♡)╮＼(^ω^＼),trái tim
( /^‿^)/( ♡∀♡),trái tim
( /^‿^)/(♡∀♡),trái tim
( /^‿^)/(♡∇♡),trái tim
( /^▽^)/,mỉm cười
( /‿＼✿),hoa
( /∇≦* ),mỉm cười
( /≧∀≦),hào hứng
( /・0・ ),ngạc nhiên
( /・0・),salute_wave
( /・・ ) ノ,khiêu vũ
( /・・)ノ,khiêu vũ
( 0 ⌣ 0✿)/,hoa
( 0//ᴗ//0),đỏ mặt
( 0◡0)っ▬▬ι═══════ﺤ   ＼( ˘ω ˘ ),gươm
( 0◡0)っ✂╰⋃╯,dương vật
( 8╭╮8╰ ),buồn
( : |,tường
( : ͡° д °͡ : )७(｀∧´メ),trận đánh
( :.;ﾟ;Д;ﾟ;.:),lấp lánh
( :3 _ )=,ling_down
( :3) ×)〆 ～～～,ling_down
( :3ぅ　),ling_down
( :T皿T),sự tức giận
( ; ¬_¬),khó chịu
( ; ¬_¬)♥,trái tim
( ; ´ д｀),mồ hôi
( ; ´ρ`),mồ hôi
( ; ´Д｀),mồ hôi
( ; ´༎ຶ益༎ຶ`)♡,trái tim
( ; ・_・)ﾉＸＸＸＸＸＸＸＸ=Cξ,mồ hôi
( ; ﹏ ; ),buồn
( ; ･`д･´ ) ​,sự tức giận
( ;-_-)ノ,mồ hôi
( ;;  @益@）,sự tức giận
( ;; @益@）,sự tức giận
( ;´ Д `),mồ hôi
( ;´ Д`),mồ hôi
( ;´ д｀),mồ hôi
( ;´0｀)ﾂ))□｀),trận đánh
( ;´Д｀),sự tức giận
( ;´д｀),mồ hôi
( ;´༎ຶ Д༎ຶ`),mồ hôi
( ;´༎ຶД༎ຶ`),mồ hôi
( ;Д;),buồn
( ;′Д`)ノ,mồ hôi
( ;Ⅲ□Ⅲ;),buồn
( ;ↀ⌓ↀ),ngạc nhiên
( ;つД｀),mồ hôi
