content,sentiment_label,original_sentiment,emoticon_type,source_column,dataset_source,split
"(----- SHARES -----) DANH SÁCH CÁC DÒNG SỮA ĐANG KHUYẾN MẠI 2015
 Nan gro 3: Mua 2 lon 900g giá khuyến mãi 335k/1hộp tặng ngay 1 đàn đồ chơi thông minh cho bé
 Nutifood (Pediaplus, Grow xanh, Grow đỏ, Nuti IQ 123, 456, Nuti IQ Gold mum): Xe đạp, xe lắc, nồi cơm điện, lẩu điện, nồi sữa supor, balô hình thú, bát sứ, bát thố...
 Celia expert 3: Chương trình tích nắp đổi quà bát thủy tinh, bộ nhựa Lock&Lock, ấm siêu tốc...
 XO: Chương trình đổi quà trực tiếp Bếp từ đơn, ấm siêu tốc, bộ nhựa Lock&Lock, dầu ăn t",neutral,Trung lập,western_emoticon,Title,minhtoan/vietnamese-comment-sentiment,train
"(----- SHARES -----) *** TUYỂN Gấp Công Nhân kho sữa Vinamilk, !!!
- Do nhu cầu vận chuyển và phân phối sản phẩm, nhà phân phối sữa Vinamikl chúng tôi cần thêm 8 Nam sắp xếp thùng sữa Vinamikl tại Kho (thùng 25kg). Làm việc có băng chuyền băng tải và xe nâng hỗ trợ.
- Làm việc vào giờ hành chính: Sáng từ 7h- 11h ; Chiều Từ 13h- 17h; Chủ nhật, ngày lễ lương x2. (nhận làm thời vụ hoặc lâu dài)
- Lương: 370k/ ngày + 500(chuyên cần) + Bao ở. Lãnh lương ngày .
- Làm việc tại TP HCM ( Q2,Q7, Thủ Đức) . Bình Dương , Đồng Nai,Long an
*** Chi tiết liên hệ:: Anh Hoàng. Tel_:0968,875.402_ (Quản lí)_ ko_SMS",neutral,Trung lập,western_emoticon,Content,minhtoan/vietnamese-comment-sentiment,train
"(----- SHARES -----) g khai
Đã thử nghiệm ok sau một liệu
trình .gầy 5kg rồi nhé. Dành
cho ngườh nhờn thuốc và uốg
qua nhiều loại vẫn k ăn thua.
Ngày đầu sd thuốc sẽ có cảm
jác hơi mệt. khô họg, thèm
nước. Khi uốg thuốc thử
10ngày, khách nên kết hợp cùg
ăn bưởi, dưa hấu, táo., Nhữg
hoa quả có thể giảm béo hoặc
kết hợp vs sữa jảm kg ăn kiêg
có bán ở đại lí Vinamilk.
Một liệu trình 30v / 1 lọ
Khách thử 10 viên hợp thuốc
có thể uốg luôn sau ngày 11 và
tráh để cách ngày uốg tiếp.
Sau 5đến 10 ngày khách hàg
ktra lại cân nặg. Có bán lẻ
10đến 20v giá ưu đãi hơn
30v /lọ. Giá rẻ hơn so vs các
chỗ khác
Tư vấn liên hệ 0988802053
=))))))) Sự lựa chọn hoàn hảo
cho cân nặg, Khi giảm được
như ý muốn còn thuốc thoải
mái ăn uốg 1tuần 2viên vẫn ok
nha . :))) (y) (y) — with Quỳnh Như Vũ and 3 others.",positive,Tích cực,western_emoticon,Content,minhtoan/vietnamese-comment-sentiment,train
"(----- SHARES -----) Huyền Helen - Sữa giá rẻ đây. sữa đậu nành GoldSoy CAD bịch 200ml bổ sung canxi và vitamin D.của VINAMILK,hàng đảm bảo chất lượng nhé.
Giá:  140.000/thung/48gói.Tính ra chỉ co 2900 đ/ gói rẻ hơn.nước chè
Hsd:18/06/2015
Lhe:01282079480.
Ai đi wa cho em xin cái like cho bài đỡ trôi ạ.Fship cho mn lấy 2 thùng trở lên nhé.xin cảm ơn",neutral,Trung lập,western_emoticon,Title,minhtoan/vietnamese-comment-sentiment,train
"(----- SHARES -----) Lu Hoang Bao Ngoc - Mọi người ơi! Cùng nhau thử bánh Cotton Cheese Cake do chính tay Bảo Ngọc làm đi. Ngon tuyệt dzời luôn.

Lúc đầu chỉ làm thử mang vào cho các chụy ăn, mà không ngờ được ủng hộ nhiệt tình quá, nên quyết định nhận order bánh luôn và ngay. ^__^. Hôm qua đã giao ngay 1 ổ bánh rùi và thứ 7 này 1 ổ nữa ạ.

Bánh này tên tiếng Việt gọi là Bánh Bông Lan Phô Mai Nhật Bản, Tiếng Anh gọi là Japanese Cotton Cheese Cake, dùng từ ""Cotton"" diễn tả là hiểu òi hen, bánh rất mềm và mị",positive,Tích cực,western_emoticon,Title,minhtoan/vietnamese-comment-sentiment,train
"(----- SHARES -----) *** TUYỂN Gấp Công Nhân kho sữa Vinamilk, !!!
- Do nhu cầu vận chuyển và phân phối sản phẩm, nhà phân phối sữa Vinamikl chúng tôi cần thêm Nam sắp xếp thùng sữa Vinamikl tại Kho (thùng 25kg). Làm việc có băng chuyền băng tải và xe nâng hỗ trợ.
- Làm việc vào giờ hành chính: Sáng từ 7h- 11h ; Chiều Từ 13h- 17h; Chủ nhật, ngày lễ được nghỉ. 
- Lương: 370k/ ngày + 500(chuyên cần) + Bao ở. Lãnh lương hàng tuần .
- Làm việc tại TP HCM ( Q2,Q7, Thủ Đức) . Bình Dương , Đồng Nai,Long an
*** Chi tiết liên hệ:: Anh Hoàng. Tel_:0965.327.863_ (Quản lí)_ ko_SMS",neutral,Trung lập,western_emoticon,Content,minhtoan/vietnamese-comment-sentiment,train
"(----- SHARES -----) Mứt dừa ngũ sắc...từ năm ngoái, cất kỹ quá, lục mãi mới ra... :)
(P/s: Lại thèm lọ mọ roài)

Công thức:
0,5kg dừa nạo cho 1 lần (lấy dừa mềm, non thôi nhé), ngâm rửa nước nóng nhiều lần cho sạch dầu dừa. Sau đó để ráo nước, trộn 0.25kg đường (thời gian trộn khoảng 5 - 8h cho đường ngấm vào dừa), cho thêm 1 chút sữa đặc có đường hoặc gần 1 bát ăn cơm sữa tươi. Đun to lửa cho sôi,đến gần cạn thì lửa nhỏ hơn, đến khi sền sệt thì cho lửa nhỏ hết cỡ rồi cứ thế sên mứt đến khi khô bằng lửa n",positive,Tích cực,western_emoticon,Title,minhtoan/vietnamese-comment-sentiment,train
"(----- SHARES -----) *** TUYỂN Gấp Công Nhân kho sữa Vinamilk, !!!
- Do nhu cầu vận chuyển và phân phối sản phẩm, nhà phân phối sữa Vinamikl chúng tôi cần thêm Nam sắp xếp thùng sữa Vinamikl tại Kho (thùng 25kg). Làm việc có băng chuyền băng tải và xe nâng hỗ trợ.
- Làm việc vào giờ hành chính: Sáng từ 7h- 11h ; Chiều Từ 13h- 17h; Chủ nhật, ngày lễ được nghỉ. 
- Lương: 370k/ ngày + 500(chuyên cần) + Bao ở. Lãnh lương ngày .
- Làm việc tại TP HCM ( Q2,Q7, Thủ Đức) . Bình Dương , Đồng Nai,Long an
*** Chi tiết liên hệ:: Anh Hoàng. Tel_:0965.327.863_ (Quản lí)_ ko_SMS",neutral,Trung lập,western_emoticon,Content,minhtoan/vietnamese-comment-sentiment,train
"(----- SHARES -----) Nấm sữa Kefir - Trẻ nhỏ muốn siêng ăn, chóng lớn?
Nữ giới muốn da đẹp mịn màng?
Nam giới muốn ăn ngon, ngủ khỏe?

Giới thiệu với các bạn về Nấm sữa Kefir - một thực phẩm dinh dưỡng, an toàn được Vinamilk và rất nhiều hãng sữa uy tín trên thế giới sử dụng.

Mình bán sản phẩm sữa chua lên men từ Nấm Kefir hợp vệ sinh và vô cùng bổ dưỡng. Bạn có thể sử dụng để tăng sức đề kháng cho trẻ nhỏ, giúp ăn ngon miệng, tăng cân, phụ nữ đắp mặt hoặc tắm sẽ được làn da trắng mịn màng không tì vết mà không bất cứ mỹ phẩm nào sánh được.

Đảm bảo:
- 100% Sử dụng sữa tiệt trùng của Vinamilk (TUYỆT ĐỐI không dùng sữa không nhãn mác, hết hạn).
- Vệ sinh tuyệt đối để đạt được sản phẩm hoàn hảo, an toàn nhất

Liên hệ:

Phone:0908 898 828 / 0989 760 223 

Số 37. Ngõ 97. Thái thịnh. Đ Đ. Hà Nội

Nguồn gốc Nấm Kefir:

Đối với dân miền núi Caucasus thuộc xứ SoViet Georgia, nấm Kefir được dùng để phòng và trị bệnh hơn ngàn năm qua. Kefir được xem là món quà tuyệt hảo mà Thượng Đế đã ban cho loài người. Nấm Kefir được xác nhận có khả năng kháng sinh, d",neutral,Trung lập,western_emoticon,Content,minhtoan/vietnamese-comment-sentiment,train
"(----- SHARES -----) *** TUYỂN Gấp Công Nhân kho sữa Vinamilk, !!!
- Do nhu cầu vận chuyển và phân phối sản phẩm, nhà phân phối sữa Vinamikl chúng tôi cần thêm Nam sắp xếp thùng sữa Vinamikl tại Kho (thùng 25kg). Làm việc có băng chuyền băng tải và xe nâng hỗ trợ.
- Làm việc vào giờ hành chính: Sáng từ 7h- 11h ; Chiều Từ 13h- 17h; Chủ nhật, ngày lễ được nghỉ. 
- Lương: 370k/ ngày + 500(chuyên cần) + Bao ở. Lãnh lương ngày .
- Làm việc tại TP HCM ( Q2,Q7, Thủ Đức) . Bình Dương , Đồng Nai,Long an
*** Chi tiết liên hệ:: Anh Hoàng. Tel_:0968,875.402_ (Quản lí)_ ko_SMS",neutral,Trung lập,western_emoticon,Content,minhtoan/vietnamese-comment-sentiment,train
"(----- SHARES -----) Thảo Thái Hạnh Trịnh - Mình xin chia xẻ cách chăm mèo sữa mồ côi.

1/ Đặt các bé vào thùng giấy khá cao có lót giấy báo và vải, khăn ( nên chọn khăn vải sáng màu để nhìn thấy được kiến hay côn trùng phòng khi cắn miu) và để ở góc phòng an toàn tránh mèo lớn và cún .

2/ Mua sữa chuyên dụng dành cho mèo PETLAG hay BIO ở thú y pha theo hướng dẫn trên bao bì,( nếu không điều kiện hay ở xa thú y có thể dùng sữa Flex FREE LACTOZA của Vinamilk , vì nếu chọn sữa trong công thức có thành fần lactoza sẽ gây tiêu chảy).

3/ Cho sữa vào bình bú chuyên dụng dành cho mèo , có thể sử dụng chai nhỏ mắt , bơm tiêm đã bỏ kim,  ống hút....tùy theo điều kiện.

4/ Bế miu con lên và cho bú trung bình 5ml - 10ml tùy bé vài ngày hay một tuần tuổi , có thể 3h bú một lần, khoảng 5, 6 lần / ngày . Không ép mà để miu con tự uống theo sức . 

5/ Sau mỗi lần bú dùng gòn hay gạc vải mềm  thấm nước ấm lau chỗ bé tè vì miu con không tự tè được.

6/ Vệ sinh bình bú thật sạch tránh nhiễm khuẩn.

7/ Thường xuyên kiểm tra ổ lót để thay kịp thời . 

8/ Cho thêm men ti",positive,Tích cực,western_emoticon,Content,minhtoan/vietnamese-comment-sentiment,train
"(----- SHARES -----) Thích làm bánh - CÁCH LÀM RAU CÂU NHÂN PHÔ MAI

Chắc các mem không còn lạ với món trà sữa thạch phomai hén, hôm nay ad hướng dẫn các mem làm phần thạch phomai, ăn không hoặc bỏ chung với trà sữa, nước ép đều tuyệt lắm :3

Nguyên liệu:

- 100ml sữa tươi

- 1viên phô mai bò cười

- 1 lòng đỏ trứng

- 50g đường cát trắng

- 30gr bột rau câu hoặc agar

- 1 hộp sữa chua vinamilk

Cách làm:

Bước 1: Cho lòng đỏ trứng, phô mai và sữa vào chén quậy nhẹ nhàng cho hỗn",positive,Tích cực,western_emoticon,Title,minhtoan/vietnamese-comment-sentiment,train
"(----- SHARES -----) Tr nhận khách sỉ sữa nguyên kem nha mn. Chỉ nhận Số lượng sỉ 300hộp trở lên ib tr 
Lẻ 1k/hộp 15ml
Tốt hơn sữa vinamilk nghen
Nguyên chất nên cb dùng đắp mặt, ng liệu làm bánh dc hết, rất thơm luôn í :3 :3 :3.
Vì giá quá rẻ nên tr ko free ship và share ship nha cb ^^. Bn nào sợ tốn phí ship thì qua nhà tr lấy nha
Tr chủ yếu làm quà tặng cho khách nhưng có 2bn lấy sỉ nên tr nhập 1000hop cc sỉ nè",neutral,Trung lập,western_emoticon,Title,minhtoan/vietnamese-comment-sentiment,train
"(----- SHARES -----) Trạm xin chia sẻ kinh nghiệm cách chăm mèo sữa của một cô chuyên chăm sóc mèo sữa trong Hồ Chí minh đã được gần 10 năm. Các bạn có thể lưu lại để chăm các em khi các bé bị mất mẹ hay cứu hộ.

1/ Đặt các bé vào thùng giấy khá cao có lót giấy báo và vải, khăn ( nên chọn khăn vải sáng màu để nhìn thấy đc kiến hay côn trùng phòng khi cắn miu) và để ở góc phòng an toàn tránh mèo lớn và cún .

2/ Mua sữa chuyên dụng dành cho mèo PETLAG hay BIO ở thú y pha theo hướng dẫn trên bao bì,( nếu không điều kiện hay ở xa thú y có thể dùng sữa Flex FREE LACTOZA của Vinamilk , vì nếu chọn sữa trong công thức có thành fần lactoza sẽ gây tiêu chảy).

3/ Cho sữa vào bình bú chuyên dụng dành cho mèo , có thể sử dụng chai nhỏ mắt , bơm tiêm, ống hút....tùy theo điều kiện.

4/ Bế miu con lên và cho bú trung bình 5ml - 10ml tùy bé vài ngày hay một tuần tuổi , có thể 3h bú một lần, khoảng 5, 6 lần / ngày . Không ép mà để miu con tự uống theo sức .

5/ Sau mỗi lần bú dùng gòn hay gạc vải mềm thấm nước ấm lau chỗ bé tè vì miu con không",positive,Tích cực,western_emoticon,Content,minhtoan/vietnamese-comment-sentiment,train
"(----- SHARES -----) Wowwwww, Mom có nhận ra chợ Bến Thành trong bức vẽ ""cực độc"" từ những túi sữa Vinamilk không nè? Chỉ cần đặt một túi sữa trên giấy trắng và để cả nhà thoả sức sáng tạo, biết đâu Mom sẽ bất ngờ với ""tác phẩm nghệ thuật"" của gia đình mình thì sao. Nhớ khoe ngay với Chuẩn Mom nha :D

Có Vinamilk, giờ uống sữa vui hơn hẳn phải không nè <3",positive,Tích cực,western_emoticon,Title,minhtoan/vietnamese-comment-sentiment,train
"- Bữa trưa là 1 hộp kem Vinamilk to đùnggg :))) Ngồi cày phim "" Nhớ em"" ăn hết cả hộp lúc nào ko biết (^^^)
- Cuộc sống còn gì thung thướn hơn :)))))) :v 
- #Ởnhà1mìnhhhh #Đauhọnggg :v :3 >_<",positive,Tích cực,western_emoticon,Title,minhtoan/vietnamese-comment-sentiment,train
- Sữa Tê Hắc Truemik ngonn lắm mà ^_^ sao mb gặp mình là kêu Tê Hắc Truemilk vậy :x,neutral,Trung lập,western_emoticon,Title,minhtoan/vietnamese-comment-sentiment,train
- Cần chi cái đôi mắt kiếng vì đôi mắt đã quá to. Có Vinamilk! Có Vinamilk!! Ngày 3 ly đôi mắt càng lòi. Ngày 3 ly đôi mắt rớt rồi :v Là lá la... :))) :*,positive,Tích cực,western_emoticon,Title,minhtoan/vietnamese-comment-sentiment,train
"#1218:
Tín 11A3
M đừng lo đừng lo bị ế, vì vẫn có một người thích m nhiều lắm :))
Lúc mô ế thì đăng cfs tìm người nha =))) êu êu nhiều

----------------------------

#1219:
T thích m,lâu rồi...Minh 10a5.

----------------------------

#1220:
To T. Đạt 11a7
Thực sự mình đã thích bạn rồi^^

-----------------------------

#1221:
To Quỳnh Trang 12a3 nhà hẻm đối diện trường c3 . A luôn follow e từng bước trên cầu thang những bước đi như gió làm tà áo dài e fly trong face anh. A nhớ những ngày có thằng đưa sữa Vi",neutral,Trung lập,western_emoticon,Title,minhtoan/vietnamese-comment-sentiment,train
"#bhv2574

Nghe nói chị có bạn gái rồi. Lúc đó em kiểu bị hết pin. 

Giờ này là 1h38 sáng. Em có nhấc máy gọi cho chị, rồi bấm bỏ, rồi lại gọi, rồi lại bấm bỏ.
Điện thoại của chị dù là một chữ số em cũng không nhớ, nên em không dám bấm xóa. Xóa rồi thì lấy cái nồi gọi cho chị sao ? Mà điện thoại của chị, một số em cũng không dám nhớ, nhớ rồi, lỡ như em dám bấm xóa, thì em có xóa được những điều đã bám rễ trong đầu em không?

Hơn 1 năm, cộng thêm vài tháng. Cũng chẳng lâu mấy, nên tình cảm sẽ đến lúc nào đó, bởi vì không được gặp, không được nghe giọng, không được buồn vui, chỉ có vài lần cay đắng một chút, nhất định sẽ vì nghe tin chị đã có bạn gái mà bỏ cuộc. 

Mà hình như cách đây 1 hơn năm em có hứa, rồi bây giờ em chưa làm được. Cái kém cỏi của em là quá đình trệ công việc. Giống như em khăng khăng giữ lại hộp sữa Vinamilk đã hết hạn sử dụng, mặc dù không uống được nữa, nhưng lại không cách gì dứt khoát bỏ đi.

Em có nghĩ về chị. Mà cái nồi gì em cũng không nhặt được dũng cảm lên để quên chị và sống một tuổi trẻ độc lập. Chị nhất định rất ghét những kẻ đeo bám, những kẻ dai như nồi nói được làm méo được - là em. Chị có bạn gái rồi, còn em méo bao giờ muốn làm người thứ 3 mặt đăm đăm bất chấp. Lí do hoàn hảo như vậy, để xem chị là người con gái đầu tiên em đánh mất.

Xin lỗi nhưng em chưa từng có được để mà đánh mất. Nhưng em méo sửa lại đâu =)) 
Ghi ""đánh mất"" cho em đỡ bi thảm chứ, cho em vớt vát chút kiêu ngạo nữa chứ =)) Mặc dù em viết xong em cũng tự thấy mình mặt dày dễ sợ =))

Chị sống vẫn tốt, 1 tỉ chữ tốt đó ngày qua ngày méo có công lao của em. Còn em sống méo tốt lắm, mà 1 tỉ lần méo tốt đều có công lao của chị. 

Có bạn gái là cảm giác như thế nào, em cũng muốn một lần được chị dạy cảm giác này. Chỉ đáng tiếc em không đủ tốt, à mà có khi chị căn bản không cần em tốt, nâng cao là vì chị không cần em.

Chị không biết có đọc những dòng này không, vì facebook mới của chị không biết có like page này không. Mà em cũng biến mất khỏi facebook của chị rồi, như một cách giữ lại chút kiêu ngạo cuối cùng mà em đã từng muốn đốt hết bằng ấm áp của chị cách đây không lâu =))

Mà trời ơi em còn không dám đọc lại cái cfs em viết, chắc là sến muốn chết đi =))
Một cảm giác rất chim cút chiên bơ, khi mà biết mình như kiểu đang tỏ ra đáng thương vl nhưng méo còn lựa chọn nào khác, mặc dù cũng chẳng có cần bất kì ai thương hại =)))
Em chỉ nhớ chị, muốn nghe giọng chị. Nhưng mà sẽ méo bao giờ gọi cho chị nữa. Nhưng em cũng méo xóa số chị đâu, nên chị đổi facebook được, thì đổi luôn số điện thoại đi.

Nghe nói chị có bạn gái rồi, em cũng định mặt lếu láo nhào ra chia rẽ như kiểu phim dài tập cho có không khí chút, tiếc là em đẹp chứ cũng không rảnh lắm.

Nhưng mà, Ngọc. Chị có biết cái hố không.
Chị chính là cái hố của em đó =))

2h11 sáng sớm, em đi ngủ. *ngáp kiểu BOSS*
Chị nếu có đọc được, hãy cười với cái màn hình một cái nhé.
Như kiểu tự kỉ ấy :v =)) 
Rồi vứt áy náy ra khỏi lòng chị, và trân trọng hạnh phúc của chị nhé.

2h15 sáng sớm. Cảm ơn chị về những ngày ngắn ngắn đã làm em tự kỉ rất nhiều với cái màn hình.

__________

#H",neutral,Trung lập,western_emoticon,Content,minhtoan/vietnamese-comment-sentiment,train
"#KTX_Cfs5546
1/16/2015 14:11:44

""chuyện kí túc xá :)))))

phòng có 6 cô nương-6 cô đều ế ,người thì đến từ 3 miền bắc trung nam đều đầy đủ cả( vừa là lợi ích vừa oái oăm lắm từ cái đa dạng vùng miền này đấy >.<
_xuất phát điểm, biết sơ qua thì điểm thi đầu vào ai cũng cao, bảng thành tích giải thưởng HSG cũng dạt dào lắm, cũng không phải dạng vừa :))))
_ngày đầu tiên vào kí túc xá,có 1 cô nói nhiều quá nhều đến nỗi mất cmn tiếng và 1 tuần sau cô im lun
_tuần đầu tiên vào ktx, móc đồ lên cửa sổ phơi cho mau",neutral,Trung lập,western_emoticon,Title,minhtoan/vietnamese-comment-sentiment,train
"#UPCF_14375
Gửi bạn trai nào đó ngồi ở hành lang lầu 1 cùng với đám nữ ở Lê Văn Sĩ 12h trưa nay. Mà mình cũng k biết bạn là nam hay là buê nữa vì cái chất giọng bựa lôi của bạn.
Mình từ canteen lon ton chạy ra với hũ sữa chua nha đam hiệu vinamilk :3, vừa bước lên cầu thang thì bạn hét toáng lên:""Trời ơi là trời, con trai mà ăn yaua kìa trời !!!"" :3
Thế là cả cái hành lang nhìn mình mà mình cũng éo hiểu vì lí do gì mình k được ăn yaua, Bộ chỉ có mấy thằng buê đuê mới được ăn hả bạn gì ơi :v. Mà mình mua bằn",positive,Tích cực,western_emoticon,Title,minhtoan/vietnamese-comment-sentiment,train
"* 100 bộ quần áo trẻ em.... 810k
20 khăn tắm em bé ..... 285k
==> 1.095k
........
* 6 gói bánh gạo oneone 390k
1 thùng bánh lạc cho người già .... 228k
1 thùng bánh xốp Nabati .... 315k
2 lốc bông lan nho .... 102k
4 lốc bông lan solie.... 132k
Bánh kẹo nhìu loại ..... 615k
Tổng bánh kẹo: 1.782k ==> cô chủ dễ thương bớt 82k ==> 1.700
* 20 gói tả giấy em bé ==> 520k
* gia vị:
4 can dầu ăn loại 5lít/1can.... 480k
4 cây đường cát trắng ( 24kg).... 640k
10kg bột ngọt ..... 380k
2 thùng nước tương Tam Thái Tử... 288k
Tổng gia vị:  ==> 1.788k
* 100kg gạo.... ==> 1.000k
* sữa hộp vinamilk 110ml.... ==> 700k
### còn gạo và sữa ngày mai họ mới giao lại nên Vy k chộp hềnh đc nha.... , sẽ chộp hóa đơn và báo cáo lại sau nha....hè hè
°°°°°Tất cả sẽ chia đều cho q4 và q8
Tổng mua tất cả là: 6.803k
Cộng 50p cơm chay đợt 1 đã thông báo: 610k
==> Tổng chi : 7.413k
Nhưng trên tổng danh sách những người quyên góp chỉ ==> 7.050k
Nghĩa là có ai đó đóng góp mà e quên ghi lại ạ, đang cố nhớ... xl ai đó nhé !
Cám ơn tất cả mọi người ạ !
Như đã thông báo, chiều mai anh chị em nào đi thì có mặt đúng h dùm em ngen :)
Hẹn gặp mọi người trong 2 ngày tới :)",positive,Tích cực,kaomoji,Content,minhtoan/vietnamese-comment-sentiment,train
mình thích uống  sữa vinamilk ;),positive,Tích cực,western_emoticon,Content,minhtoan/vietnamese-comment-sentiment,train
