emoticon_code,description,emoticon_type
(  *｀з´ ),sự tức giận,kaomoji
(  -_- )旦~,đồ ăn,kaomoji
(  .)(.  ),ngực,kaomoji
(  ;ﾟдﾟ),mồ hôi,kaomoji
(  O‿O)爻(Ő‿Ő♥),trái tim,kaomoji
(  ^-^)💗(´ε｀*),trái tim,kaomoji
(  ^_^)／,salute_wave,kaomoji
(  ^o^)/,hào hứng,kaomoji
(  ^q^),mỉm cười,kaomoji
(  `ω´ )۶▬ι═══════ﺤ,gươm,kaomoji
(  iдi ),buồn,kaomoji
(  o3o)(´ ❥ `  ),trái tim,kaomoji
(  oωo)cʕ•ᴥ•cʔ,con gấu,kaomoji
(  oᴗo)cʕ•ᴥ•cʔ,con gấu,kaomoji
(  o∀o)(´ ❥ `  ),trái tim,kaomoji
(  °0° )  (′̥̥̥∩′̥̥̥ ) = =🎈,khóc,kaomoji
(  °0° )  📄(′̥̥̥∩′̥̥̥ ),khóc,kaomoji
(  °૩°)♡(˘ε˘˶☆ ),đỏ mặt,kaomoji
(  °∀°)八 (◕ᴗ◕✿),hoa,kaomoji
(  ´ ³`),hôn,kaomoji
(  ´ ˘ `)♡,trái tim,kaomoji
(  ´ ˘ `)♡ᴖ U ᴖ๑),trái tim,kaomoji
(  ´ ˘ `)♥,trái tim,kaomoji
(  ´ ˘ `)♥.:☆¸.•♥•...°☆.=💗💌( ˶˘ ³˘(˵ ͡° ͜ʖ ͡°˵)♡,đỏ mặt,kaomoji
(  ´ ∀ ` ),mỉm cười,kaomoji
(  ´(00)`),con lợn,kaomoji
(  ´_ゝ｀)ﾉ,salute_wave,kaomoji
(  ´o‿o`) (⚗ワ⚗✿),hoa,kaomoji
(  ´˘3˘)♡(´ ❥ `✿),hoa,kaomoji
(  ´˘³˘)♡(´ ❥ `✿),hoa,kaomoji
(  ´˘ᴗ˘)♡(´ ❥ `✿),hoa,kaomoji
(  ´˘ᴗ˘`)♡(´ ❥ `✿),hoa,kaomoji
(  ´‿`)(´‿`✿),hoa,kaomoji
(  ´∀`),mỉm cười,kaomoji
(  ´∀`)/(^-^ *),mỉm cười,kaomoji
(  ´・ω・)ﾉ,salute_wave,kaomoji
(  ´･ω･` )_且~,đồ ăn,kaomoji
(  ˆoˆ ) ♡♬ ♬♪˚‧º·♡(◍˘ ∀ ˘◍)♡,trái tim,kaomoji
(  ˆoˆ(^ε^ ),hôn,kaomoji
(  ˆ∇ˆ(^ε^ ),mỉm cười,kaomoji
(  ˆ◡ˆ(^ε^ ),mỉm cười,kaomoji
(  ˘ ³(ꈍ◡ꈍ)🍪🍪,đỏ mặt,kaomoji
(  ˘ ³˘ ),hôn,kaomoji
(  ˘ ³˘),hôn,kaomoji
(  ˘3˘(•́////•̀๑),đỏ mặt,kaomoji
(  ˘3˘(•́////•̀●),đỏ mặt,kaomoji
(  ˘3˘(≧◡≦✿),hoa,kaomoji
(  ˘³(˘ω˘ 🌸),hoa,kaomoji
(  ˘³(˘ꇴ˘ 🌸),hoa,kaomoji
(  ˘³(🌸˘ꇴ˘)♥,hoa,kaomoji
(  ˘³˘)💗✲ﾟ*｡,trái tim,kaomoji
(  ˘̩̩̩◡˘̩̩̩ )(ᵒ˵U˵ᵒ🌸),hoa,kaomoji
(  ˘ω˘(•́////•̀๑),đỏ mặt,kaomoji
(  ˘з˘(•́////•̀๑),đỏ mặt,kaomoji
(  ˘▽˘✿ ),hoa,kaomoji
(  ˵•́ ᴗ •̀˵)(˵•́ ᴗ •̀˵  ),đỏ mặt,kaomoji
(  ˶^w^),đỏ mặt,kaomoji
(  ˶^w^)b,đỏ mặt,kaomoji
(  ˶❛U❛)b,đỏ mặt,kaomoji
(  ˶❛w❛)b,đỏ mặt,kaomoji
(  ͌∀  ͌)━☆ﾟ.*･｡ﾟ,đũa,kaomoji
(  ͌ヮ  ͌),mỉm cười,kaomoji
(  ͌ヮ  ͌)╭∩╮,ngón giữa,kaomoji
(  ͠° ͟ʖ ͡° ),sự tức giận,kaomoji
(  ͡ ͜ʖ ͡  ),lenny,kaomoji
(  ͡~ ͜ʖ ͡~),lenny,kaomoji
(  ͡~ ͜ʖ ͡°),nháy mắt,kaomoji
(  ͡° ͜ ʖ ͡°),lenny,kaomoji
(  ͡° ͜ʖ ͡° ),lenny,kaomoji
(  ͡° ͜ʖ ͡°),lenny,kaomoji
(  ͡˵° ͜ʖ ͡°),đỏ mặt,kaomoji
(  ͡˵❛U❛)╦╦═─,súng,kaomoji
(  ͡ᵔ ͜ʖ ͡ᵔ ),lenny,kaomoji
(  ͡⌐■ ͜ʖ ͡-■),lenny,kaomoji
(  ͡☉ ͜ʖ ͡☉),lenny,kaomoji
(  ͡⚆ ͜ʖ ͡⚆),lenny,kaomoji
(  ͯᎲ  ͯ)━☆ﾟ.*･｡ﾟ,koala,kaomoji
(  ͯᗜ  ͯ)━☆ﾟ.*･｡ﾟ,đũa,kaomoji
(  ՞ਊ ՞ )☞,chỉ,kaomoji
(  ՞ਊ ՞)☝,chỉ,kaomoji
(  ՞ਊ՞),chim,kaomoji
(  १д१),buồn,kaomoji
(  ਊ дਊ),ngạc nhiên,kaomoji
(  ఠ ൠ ఠ ),con lợn,kaomoji
(  ఠ ൠ ఠ),sự tức giận,kaomoji
(  ఠ ൠఠ ),con lợn,kaomoji
(  ಠ ಠ  ),sự tức giận,kaomoji
(  ಠ_ರೃ),monocle,kaomoji
(  ಠ⌣ಠ),mỉm cười,kaomoji
(  ಠ▃ಠ),sự tức giận,kaomoji
(  ื▿ ืʃƪ),mỉm cười,kaomoji
(  ๑˘³˘)♡(´ ❥ `✿),hoa,kaomoji
(  ๑♡⌓♡๑),đỏ mặt,kaomoji
(  ཀ _ ཀ),buồn,kaomoji
(  ᴖ ᴈ ᴖ)(●.●❁),hoa,kaomoji
(  ’U’(^ε^☆),hôn,kaomoji
(  ’ᵕ’(^ε^☆),mỉm cười,kaomoji
(  ’‿’(^ε^☆),mỉm cười,kaomoji
(  ’∇’(^ε^☆),hôn,kaomoji
(  • З (≧◡≦),mỉm cười,kaomoji
(  •o•)/(ᵔ/ᴥ/ᵔU),chó,kaomoji
(  •o•)/(ᵔ/ᴥ/ᵔU)(˘ε˘ʃƪ),chó,kaomoji
(  •̀ ω•́  ),sự tức giận,kaomoji
(  •̀ᴗ•́ )♡( ♥ω♥ * ),trái tim,kaomoji
(  •̀ᴗ•́ )♡(^ε^  )Lᵒᵛᵉᵧₒᵤ,trái tim,kaomoji
(  •́ω•̀)♡,trái tim,kaomoji
(  •́ω•̀)♡(˘ε˘˶ ),đỏ mặt,kaomoji
(  •ω•)八(•‿•🌸),hoa,kaomoji
(  •ᴗ•)(ᵔ/ᴥ/ᵔU),chó,kaomoji
(  •ᴗ•)/(ᵔ/ᴥ/ᵔU),chó,kaomoji
(  •‿•)八(•‿•🌸),hoa,kaomoji
(  ≚ ◡≚),đỏ mặt,kaomoji
(  ≧ω≦) ♡,trái tim,kaomoji
(  ≧∀≦)❤(^ω^ ✿),hoa,kaomoji
(  ≧◡≦) ♡,trái tim,kaomoji
(  ⊃‿⊂  ),mỉm cười,kaomoji
(  ⊙ ‿⊙),mỉm cười,kaomoji
(  ⊙‿⊙),mỉm cười,kaomoji
(  ⌐■  _  ■  ),kính,kaomoji
(  ⌐▨_▨),kính,kaomoji
(  ⓪益⓪),sự tức giận,kaomoji
(  ╬◣ 益◢）y━･~,sự tức giận,kaomoji
(  ▀ 益 ▀ ),kính,kaomoji
(  ▼ω▼),kính,kaomoji
(  ◉︵◉),buồn,kaomoji
(  ◔ ౪◔)⊃━☆ﾟ.*・,đũa,kaomoji
(  ◕0 ◕) ˪৹⌵ೕ (˃͈ દ ˂͈ ))っ*˖⁺*˖⁺♡,đỏ mặt,kaomoji
(  ◕ω◕)人(◕‿◕◍),mỉm cười,kaomoji
(  ★ں★)♡(˘꒡˘ 🌸),hoa,kaomoji
(  ♡∀♡),trái tim,kaomoji
(  ✿°-° )(°)#))< ฅ(=•́ܫ•̀=)ฅ,hoa,kaomoji
(  ❛ ³ ❛)💗✲ﾟ*｡,trái tim,kaomoji
(  ❛//U//❛)b,đỏ mặt,kaomoji
(  ❛0) 🍹┬─┬🍺 (-‿- ) ┬─┬     🍹_(ﾟ◇ﾟ)ノﾞ,table_upright,kaomoji
(  ❛0) 🍹┬─┬🔫(-‿- ) ┬─┬     🍹_(ﾟ◇ﾟ)ノﾞ,súng,kaomoji
(  ❛3❛)┬─┬ 旦_(^O^ ) (⋆ఠ్◡ఠ్)┬─┬(˃̣̣̥^˂̣̣̥ ),table_upright,kaomoji
(  ❛U❛)b,ngón tay cái_up,kaomoji
(  ❛o❛)▄-┻-,súng,kaomoji
(  ❛ᴗ❛)☆*✲⋆,mỉm cười,kaomoji
(  〃 ￣ω￣〃ゞ,đỏ mặt,kaomoji
(  〃艸〃),đỏ mặt,kaomoji
(  〒﹏〒),buồn,kaomoji
(  ・  ) | ( ・  ),ngực,kaomoji
(  ・_ ・)ノΞ●~*,bom,kaomoji
(  ・_・)ノ,salute_wave,kaomoji
(  ・о・),ngạc nhiên,kaomoji
(  ꈍ૩ꈍ)☆✲ﾟ*｡,đỏ mặt,kaomoji
(  ꈍ૩ꈍ)💗✲ﾟ*｡,đỏ mặt,kaomoji
(  ︶︿︶ )_╭∩╮,ngón giữa,kaomoji
(  ︶︿︶)_╭∩╮,ngón giữa,kaomoji
(  Ｔ▽Ｔ),mỉm cười,kaomoji
(  ＾)💗(＾ *),trái tim,kaomoji
(  ＾∇＾),mỉm cười,kaomoji
(  ｏ´・ε・｀ｏ),đỏ mặt,kaomoji
(  ･`▱´･),sự tức giận,kaomoji
(  ･ω･ )ﾉ,salute_wave,kaomoji
(  ･ω･)ﾉ,salute_wave,kaomoji
(  ･∀･ )💗(♡∀♡🌸),hoa,kaomoji
(  ｰ`дｰ´ ),sự tức giận,kaomoji
(  ﾟ▽ﾟ)/,mỉm cười,kaomoji
(  ￣3)(´ ❥ `),trái tim,kaomoji
(  ￣∇￣),mỉm cười,kaomoji
(  ￣▽￣)ノ,salute_wave,kaomoji
( #^.^# ),đỏ mặt,kaomoji
( #`⌂´)/┌┛,trận đánh,kaomoji
( #`⌂´)/┌┛⋆,sự tức giận,kaomoji
( #~皿~# ),đỏ mặt,kaomoji
( #~皿~#),đỏ mặt,kaomoji
( #＞（●●）＜# ),con lợn,kaomoji
( #｀皿  ´ ),sự tức giận,kaomoji
( #｀皿 ´),sự tức giận,kaomoji
( #｀皿´),sự tức giận,kaomoji
"( ')> ... "" C('-'c)",chim,kaomoji
( '}{' ),hôn,kaomoji
( (y) ◔◡◔) (y),mỉm cười,kaomoji
( (■(㇏(•̀ᵥᵥ•́)ノ),dơi_vampires,kaomoji
( (■■■■■■■■■■■□□□  NOWLOADING,kính,kaomoji
( (ﾉ◕ヮ◕)ﾉ*✲ﾟ*｡⋆,lấp lánh,kaomoji
( )っ✂╰⋃╯,dương vật,kaomoji
( *  ́꒳`*)੭,salute_wave,kaomoji
( * /∇＼*),mỉm cười,kaomoji
( * ´_ゝ｀ ),đỏ mặt,kaomoji
( * ´ω｀*)ノ,salute_wave,kaomoji
( * ´Д｀)=з,buồn,kaomoji
( * ´∀｀*),mỉm cười,kaomoji
( * ´∀｀）,mỉm cười,kaomoji
( * ´台｀*),đỏ mặt,kaomoji
( * ʖ *)╰⋃╯|╰⋃╯,dương vật,kaomoji
( * ๑•̀ロ•́๑)」,đỏ mặt,kaomoji
( * ≧∀≦ *),hào hứng,kaomoji
( * ≧∀≦)ゞ,sự tức giận,kaomoji
( * ＾▽＾)／,salute_wave,kaomoji
( * ﾉωﾉ),đỏ mặt,kaomoji
( * ﾉ▽ﾉ),mỉm cười,kaomoji
( * ﾟ∀ﾟ)ﾉｼ,salute_wave,kaomoji
( *>ω<*),đỏ mặt,kaomoji
( *U* )b♡,trái tim,kaomoji
( *U*)y─┛,thuốc lá,kaomoji
( *^-^ ),mỉm cười,kaomoji
( *^-^),mỉm cười,kaomoji
( *^.^* ),đỏ mặt,kaomoji
( *^^* ),đỏ mặt,kaomoji
( *^_^* ),đỏ mặt,kaomoji
( *^◇^ )_旦,đồ ăn,kaomoji
( *^◇^ )_旦    ♬°⋆⋆°♬    🥃(⋆❛3❛)(❛ε❛⋆)🥃,đồ ăn,kaomoji
( *^◇^ )_旦  (✿•́ ∀ •̀)🍺 ┳━ 🍷_(ﾟ◇ﾟ),hoa,kaomoji
( *^･ｪ･)ﾉ,salute_wave,kaomoji
( *¯ o¯*)♡🍉,trái tim,kaomoji
( *¯ ³¯)(^ ⌣ ^✧),hôn,kaomoji
( *¯ ³¯)(♡//∇/♡),đỏ mặt,kaomoji
( *¯ ³¯)(✿˵•́.•̀˵),hoa,kaomoji
( *¯ ³¯)(✿˵•́ᴗ•̀˵),hoa,kaomoji
( *¯ ³¯)*.;♡,trái tim,kaomoji
( *¯ ³¯)♡,trái tim,kaomoji
( *¯ ³¯)♡(>ω<`),trái tim,kaomoji
( *¯ ³¯)♡♥,trái tim,kaomoji
( *¯ ³¯* )♡,trái tim,kaomoji
( *¯ ³¯*),hôn,kaomoji
( *¯ ³¯*) ♡,trái tim,kaomoji
( *¯ ³¯*)(*´∀｀),hôn,kaomoji
( *¯ ³¯*)(*´∀｀♡),trái tim,kaomoji
( *¯ ³¯*)(o・U・),hôn,kaomoji
( *¯ ³¯*)(ᵔᵕᵔ●),mỉm cười,kaomoji
( *¯ ³¯*)(•ω•｡`)♡,trái tim,kaomoji
( *¯ ³¯*)(•ω•｡`)♡  d(･ω･)b,trái tim,kaomoji
( *¯ ³¯*)(●ᵔᵕᵔ),hôn,kaomoji
( *¯ ³¯*)(◕U◕),hôn,kaomoji
( *¯ ³¯*)(◕▿◕c),hôn,kaomoji
( *¯ ³¯*)(♡//∇/♡),đỏ mặt,kaomoji
( *¯ ³¯*)*.:;♡,trái tim,kaomoji
( *¯ ³¯*)♡,trái tim,kaomoji
( *¯ ³¯*)♡(ŐUŐ人),trái tim,kaomoji
( *¯ ³¯*)♡(◕U◕),trái tim,kaomoji
( *¯ ³¯*)♡(♥✪▽✪),trái tim,kaomoji
( *¯ ³¯*)♡(✪▽✪),trái tim,kaomoji
( *¯ ³¯*)🌸(ŐωŐ人),hoa,kaomoji
( *´-ω) o旦~┏┓,table_upright,kaomoji
( *´-｀* ),đỏ mặt,kaomoji
( *´I`* ),đỏ mặt,kaomoji
( *´I`*),đỏ mặt,kaomoji
( *´_ゝ｀),đỏ mặt,kaomoji
( *´ω｀*),đỏ mặt,kaomoji
( *´ω｀*)ノ,đỏ mặt,kaomoji
( *´д)/(´д｀、),buồn,kaomoji
( *´д)/(´д｀､),buồn,kaomoji
( *´д｀*),đỏ mặt,kaomoji
( *´з｀)ＧＯＯＤ ＤЯЁΑΜ(´ε｀*),morning_night_evening_message,kaomoji
( *´ᴗ`)✿,hoa,kaomoji
( *´∀`* ),đỏ mặt,kaomoji
( *´∀`*),đỏ mặt,kaomoji
( *´∀｀）,mỉm cười,kaomoji
( *´∇｀*),đỏ mặt,kaomoji
( *´╰╯`)♡,trái tim,kaomoji
( *´▿`),mỉm cười,kaomoji
( *´▿`)✿,hoa,kaomoji
( *´◡`)✿,hoa,kaomoji
( *´ェ｀*),đỏ mặt,kaomoji
( *´・ω  )o旦~┏┓,table_upright,kaomoji
( *´罒` * ),đỏ mặt,kaomoji
( *´罒`* ),đỏ mặt,kaomoji
( *´ｪ｀* ),đỏ mặt,kaomoji
( *´ｪ｀* )っ旦~,đỏ mặt,kaomoji
( *´ｪ｀*),đỏ mặt,kaomoji
( *ˊᵕˋ),mỉm cười,kaomoji
( *˘︶˘*).｡.:*♡,đỏ mặt,western
( *ω*)y─┛,thuốc lá,kaomoji
( *՞ਊ՞* )ﾉ,đỏ mặt,kaomoji
( *՞ਊ՞*)ﾉ,đỏ mặt,kaomoji
( *෴* ),ria,kaomoji
( *๑•̀д•́๑)」,đỏ mặt,kaomoji
( *๑•̀ロ•́๑)」,đỏ mặt,kaomoji
( *ᴗ*)y─┛,thuốc lá,kaomoji
( *’A`*),đỏ mặt,kaomoji
( *’ω’* ),đỏ mặt,kaomoji
( *’▽’ )ノ＾—==ΞΞΞ☆,mỉm cười,kaomoji
( *’▽’)ノ＾—==ΞΞΞ☆,mỉm cười,kaomoji
( *• ̀ω•́ )b,ngón tay cái_up,kaomoji
( *∀*)y─┛,thuốc lá,kaomoji
( *∵* ),đỏ mặt,kaomoji
( *∵* )b♡,trái tim,kaomoji
( *≧m≦* ),đỏ mặt,kaomoji
( *≧n≦* ),đỏ mặt,kaomoji
( *≧∀≦* ),đỏ mặt,kaomoji
( *≧∀≦*),đỏ mặt,kaomoji
( *╹ω╹)ﾉ(╹ᴗ╹○),mỉm cười,kaomoji
( *╹ω╹)ﾉ(╹ᴗ╹●),mỉm cười,kaomoji
( *╹ω╹)ﾉ(╹ᴗ╹●)♪,khiêu vũ,kaomoji
( *▼o▼*)ノ,kính,kaomoji
( *▼▽▼*),kính,kaomoji
( *▽*)y─┛,thuốc lá,kaomoji
( *▽*)y─┛ (´♡ω♡`),trái tim,kaomoji
( *●⁰ꈊ⁰●)ﾉ,salute_wave,kaomoji
( *♥^•ﻌ•^♥* ),đỏ mặt,kaomoji
( *ゝ ω・)ﾉ,nháy mắt,kaomoji
( *ゝω ・)ﾉ,nháy mắt,kaomoji
( *ゝω・)ﾉ,nháy mắt,kaomoji
( *ノз`*),đỏ mặt,kaomoji
( *・∀-)☆,nháy mắt,kaomoji
( *・∀・)ノ☆,mỉm cười,kaomoji
( *・∀・)ノ゛,salute_wave,kaomoji
( *・∀・)ノ゛(≗ ᆽ ≗)^•ﻌ•^,con mèo,kaomoji
( *・∀・)ノ゛^•ﻌ•^,con mèo,kaomoji
( *・∀・)ノ゛＼ʕ◕ᴥ◕＼ʔ,con gấu,kaomoji
( *＾ ∀ﾟ )ъ,mỉm cười,kaomoji
( *＾∀ﾟ )ъ,mỉm cười,kaomoji
( *＾∀ﾟ) ъ,mỉm cười,kaomoji
( *＾∀ﾟ)ъ,mỉm cười,kaomoji
( *＾▽＾)／,salute_wave,kaomoji
( *＾◡＾)っ[̲̅$̲̅(̲̅5)̲̅$̲̅](ﾟДﾟ ?),tiền bạc,kaomoji
( *｀Ω´)b,sự tức giận,kaomoji
( *｀ω´),sự tức giận,kaomoji
( *｀з´ ),sự tức giận,kaomoji
( *｀з´),sự tức giận,kaomoji
( *｀▽´)_旦~~,sự tức giận,kaomoji
( *｀へ´* ),đỏ mặt,kaomoji
( *｀益´*),đỏ mặt,kaomoji
( *･∀･ )  ☕¯\_(の‸の)_/¯,nhún vai,kaomoji
( *･∀･ )  ☕ʅ(◔‸◔✿)ʃ,hoa,kaomoji
( *･∀･ )  ☕☕( ^▽^ ),uống,kaomoji
( *･∀･ ) ☕,uống,kaomoji
( *･∀･ )_Ω~,mỉm cười,kaomoji
( *･∀･)_Ω~,mỉm cười,kaomoji
( *ﾉ ▽ﾉ),mỉm cười,kaomoji
( *ﾉω<* ),đỏ mặt,kaomoji
( *ﾉ∀` *),mỉm cười,kaomoji
( *ﾉ∀`*),đỏ mặt,kaomoji
( *ﾉ▽ﾉ ),đỏ mặt,kaomoji
( *ﾉ▽ﾉ),mỉm cười,kaomoji
